"","�..V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","opp","rid","RISN","Q_TotalDuration","isNew","viga","eid","V","uig","cintid","ProjectToken","Field","gc","term","LS","Q35","MascotSupport_1","MascotSupport_2","MascotSupport_3","MascotSupport_4","MascotSupport_5","MascotSupport2_1","MascotSupport2_2","MascotSupport2_3","MascotSupport2_4","MascotSupport2_5","MascotSupport2_6","MascotSupport2_7","MascotSupport2_8","MascotSupport2_9","MascotSupport2_10","Invis1_1","Invis1_2","Invis1_3","Invis2_1","Invis2_2","Invis2_3","Invis2_4","Invis2_5","Invis3_1","Invis3_2","Invis3_3","Invis3_4","Invis3_5","Invis3_6","Invis3_7","Invis3_8","Invis3_9","Invis4_1","Invis4_2","Invis4_3","Invis4_4","Invis4_5","Invis4_6","Invis4_7","Invis5_1","Invis5_2","Invis5_3","Invis5_4","Invis5_5","Invis5_6","Invis5_7","Invis5_8","Invis5_9","Invis5_10","Invis5_11","Invis5_12","Invis5_13","Invis6_1","Invis6_2","Invis6_3","Invis6_4","Invis6_5","Invis6_6","Invis6_7","Invis6_8","Invis6_9","Invis6_10","Identity1_1","Identity1_2","Identity1_3","Identity1_4","Identity1_5","Identity1_6","Identity1_7","Identity2_1","Identity2_2","Identity2_3","Identity2_4","Identity3_1","Identity3_2","Identity3_3","Identity3_4","Identity4_1","Identity4_2","Identity4_3","Identity4_4","Identity5_1","Identity5_2","Identity6_1","Identity6_2","Identity6_3","Identity6_4","Identity7_1","Identity7_2","Identity7_3","Identity7_4","Identity7_5","Identity7_6","Identity7_7","Identity8_1","Identity8_2","Identity8_3","Identity8_4","Identity8_5","Identity8_6","Identity8_7","Identity9_1","Identity9_2","Identity9_3","Identity9_4","Identity9_5","Identity9_6","Identity9_7","Identity9_8","Identity9_9","Identity9_10","Identity9_11","Identity9_12","Identity9_13","Identity9_14","Identity9_15","Identity9_16","Identity9_17","Q29","Q29_TEXT","Q30","Q37","Q31","Q32","Q33","Q34","Q41_1","Q41_2","Q41_3","Q41_4","Q41_5","Q41_6","Q41_7","Q41_7_TEXT","Q26","Tribe","X","ValidResponse","Q28","Q42","Q24","Q25","Q18","Q19","Q20","Q21","Q27","Q40","Q22","Q23","Q38","Q36","LocationLatitude","LocationLongitude","LocationAccuracy","FilterOut","filter_."
"332","R_12yHoWyXbR8s7sQ","Default Response Set","Anonymous",NA,NA,"73.123.51.137",0,"10/17/2019 11:09","10/17/2019 11:21",1,"Qual2790-0826NativeAmerican2"," ",NA,702,TRUE,"4256f907-6083-47a9-a44f-1a454c734399"," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,4,3,2,4,7,5,2,3,2,3,7,6,6,5,6,6,6,6,3,4,2,3,6,6,5,6,6,5,6,6,3,5,3,6,5,6,6,6,6,7,7,7,7,7,7,7,7,7,5,7,7,7,6,3,6,6,6,4,5,6,6,6,4,6,4,6,4,6,4,2,6,2,4,6,4,5,4,6,6,6,3,4,2,5,6,6,4,3,5,3,4,6,2,2,4,3,2,4,2,6,2,3,4,5,4,4,2,4,3,1,5,4,2,4,4,4,2,4,1,NA,33,"1510",2,4,1,6,NA,NA,NA,NA,NA,1,NA," ","Micmac","Mikmaq",NA,NA,1,1,4,1,1,2,4,2,1,NA,3,2," ",1,42.53010559,-71.75530243,-1,0,1
"135","R_R8KDx0k9FHXBq4p","Default Response Set","Anonymous",NA,NA,"74.206.84.162",0,"10/16/2019 14:26","10/16/2019 14:32",1,"Qual2790-0826NativeAmerican2","5da77d05-8c7e-8f9d-0b01-934db6211a7d",NA,337,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,7,7,1,7,7,1,1,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,1,7,5,7,4,7,7,5,6,1,7,1,7,7,7,7,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,NA,8,"27205",3,4,1,4,NA,NA,NA,1,NA,1,NA," ","Cherokee","Cherokee",NA,NA,1,1,7,1,1,1,1,2,1,NA,1,1," ",1,35.63830566,-79.85569763,-1,0,1
"662","R_3nw7j24TZFwHHS5","Default Response Set","Anonymous",NA,NA,"162.200.16.165",0,"9/25/2019 17:58","9/25/2019 18:09",1,"Qual2790-0826NativeAmerican2","5d8bff1d-8391-391a-f305-4a916c90af55",NA,622,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,6,4,7,2,6,5,7,6,4,5,7,5,7,6,7,4,6,4,3,6,6,1,6,4,5,7,5,7,5,7,6,6,7,5,7,7,4,6,7,4,5,3,6,5,5,6,7,6,4,7,7,6,6,4,NA,5,4,3,6,4,5,7,4,4,3,6,5,6,7,7,6,3,6,1,4,7,5,7,5,5,7,4,7,7,4,7,5,7,7,7,5,4,6,6,7,4,4,6,7,7,6,1,5,6,6,4,4,4,4,7,6,6,6,7,7,4,7,6,2,NA,8,"76018",4,2,2,4,NA,NA,NA,NA,NA,1,NA," ","Wakee",NA,NA,NA,1,1,3,1,1,2,2,1,1,NA,2,2,"love the survey specific becasue of the questions and answers selection history really does continue on.",1,32.58169556,-97.13990021,-1,0,1
"889","R_3NUsOr3kuiDa1Ar","Default Response Set","Anonymous",NA,NA,"71.206.152.52",0,"9/21/2019 18:38","9/21/2019 18:44",1,"Qual2790-0826NativeAmerican2","5d86c247-3a67-8b9b-f733-aaf294b445a9",NA,353,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,5,7,2,4,2,5,4,4,6,1,1,2,1,6,3,7,6,2,7,1,3,2,1,7,3,4,3,6,3,6,6,1,6,3,4,6,4,2,3,1,6,3,4,1,7,6,6,3,4,4,6,4,4,5,7,3,7,6,2,6,3,1,7,6,1,5,5,3,2,4,7,7,3,2,1,1,NA,6,2,5,6,4,7,1,7,5,2,7,4,5,7,1,3,3,7,5,2,4,3,5,1,2,3,7,5,1,7,5,6,2,4,5,7,2,5,4,7,3,2,NA,27,"12345",7,2,4,1,NA,1,1,1,NA,1,NA," ","Powtan",NA,NA,NA,1,1,7,1,1,1,2,2,1,NA,1,1,"No",1,37.43099976,-77.65540314,-1,0,1
"433","R_3eslOfvV35aDsUC","Default Response Set","Anonymous",NA,NA,"73.134.160.134",0,"10/14/2019 17:38","10/14/2019 17:46",1,"Qual2790-0826NativeAmerican2","5da506b8-de40-2ccf-4eac-3fc8c237b5c9",NA,451,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,5,5,4,5,5,5,5,4,5,4,4,3,4,5,6,4,4,4,5,5,5,5,3,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,5,5,5,6,4,6,5,5,2,5,4,4,4,4,4,4,4,4,6,6,6,6,4,6,6,3,5,3,5,3,6,3,6,5,4,5,4,6,3,6,6,6,6,3,3,3,3,3,3,3,2,5,4,5,2,5,5,4,5,5,4,5,4,5,5,3,5,4,5,5,4,5,5,5,2,NA,38,"19973",4,3,1,4,NA,NA,NA,NA,NA,1,NA," ","Qwert",NA,NA,NA,1,1,5,0,1,1,3,2,0,0,3,2," ",1,38.63969421,-75.60469818,-1,0,1
"1047","R_1j7mx1CDNeAWST8","Default Response Set","Anonymous",NA,NA,"107.77.224.127",0,"9/25/2019 14:20","9/25/2019 14:30",1,"Qual2790-0826NativeAmerican2","5d8bcc17-d3fb-68f8-83fa-348b8881c1a1",NA,600,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,7,7,7,7,7,1,1,7,1,1,7,7,7,7,7,7,7,7,6,2,5,4,4,6,6,6,5,6,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,1,7,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,1,7,1,7,1,7,1,7,5,5,3,5,7,1,7,7,7,7,1,4,1,1,1,5,3,5,6,7,7,5,6,7,3,6,5,4,5,6,5,7,3,5,5,7,6,6,6,6,7,2,NA,9,"10003",3,4,6,6,NA,NA,NA,NA,NA,1,NA," ","Cahto","Cahto",NA,NA,1,1,6,1,1,1,1,2,1,NA,2,3,"None.",1,40.72520447,-73.94400024,-1,0,1
"533","R_2UiwbHUc9zHoRVM","Default Response Set","Anonymous",NA,NA,"65.191.21.58",0,"10/14/2019 16:48","10/14/2019 16:54",1,"Qual2790-0826NativeAmerican2","5da4fb0f-d76e-12af-6b38-aeb2d7ac09d4",NA,368,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,2,4,4,6,5,4,5,6,3,3,3,3,5,4,5,4,5,5,4,4,5,6,5,2,1,6,4,5,5,4,4,3,3,3,5,5,5,4,5,4,6,4,2,4,4,4,4,6,5,5,2,3,4,6,3,5,6,4,3,2,3,5,3,5,6,5,6,5,4,5,5,5,6,5,6,5,5,4,1,5,5,5,5,5,6,5,5,3,6,5,4,6,6,4,6,6,2,5,6,5,5,4,5,6,6,4,4,6,4,7,5,1,4,4,5,5,5,5,1,NA,12,"28314",5,3,1,4,NA,NA,NA,NA,NA,1,NA," ","Many",NA,NA,NA,0,1,4,1,1,2,3,2,0,1,2,2,"Glad to help. Thanks",1,35.02760315,-78.97090149,-1,0,1
"614","R_3COCOfwyhvXD9Y5","Default Response Set","Anonymous",NA,NA,"174.84.249.135",0,"9/26/2019 15:57","9/26/2019 16:11",1,"Qual2790-0826NativeAmerican2","5d8d3421-a596-1090-3429-e26989c501f5",6017771,860,TRUE," "," ","H"," "," ",NA,NA,1," ","9105",4,7,7,7,7,7,1,1,7,1,1,7,7,7,7,7,6,6,2,7,2,7,7,1,4,7,6,7,7,7,7,4,3,1,2,7,6,7,7,6,7,7,7,7,7,7,7,7,7,1,7,7,7,7,2,7,6,6,6,6,6,7,6,7,7,7,7,7,7,7,1,7,1,7,1,7,1,7,5,6,6,6,7,1,7,7,7,7,1,1,1,1,1,1,1,7,6,2,7,4,6,4,4,5,7,3,2,4,3,5,5,6,4,6,3,3,6,6,2,2,NA,31,"49788",5,4,7,7,NA,NA,NA,NA,NA,1,NA," ","White Earth Minnesota Ojibwe","Ojibwe",NA,NA,1,1,3,1,1,2,3,2,1,NA,1,1,"I really enjoyed this survey",1,46.4151001,-84.28540039,-1,0,1
"454","R_2eVlnP3C0vOm1Eg","Default Response Set","Anonymous",NA,NA,"47.196.2.176",0,"10/25/2019 8:21","10/25/2019 8:38",1,"Qual2790-0826NativeAmerican2","5db304ce-5cdd-5346-04b0-5374e6089515",NA,1011,TRUE," "," "," "," "," ",NA,2,1," ","{Invalid Expression}",4,3,2,2,2,6,7,7,2,7,7,2,2,2,2,2,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,7,7,6,7,7,7,6,6,7,2,7,6,6,7,2,4,4,4,6,7,4,4,4,6,7,6,7,2,6,6,4,7,4,6,2,7,2,7,4,4,4,2,7,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,NA,17,"33579",1,4,7,3,NA,NA,NA,NA,NA,1,NA," ","Senecca","Seneca",NA,NA,0,0,4,1,1,2,4,2,0,0,4,2," ",1,27.85020447,-82.30970001,-1,0,1
"112","R_2B5rNyCRmRRhfcJ","Default Response Set","Anonymous",NA,NA,"71.207.192.193",0,"10/15/2019 5:48","10/15/2019 5:59",1,"Qual2790-0826NativeAmerican2","5da5b1e1-2d9e-a935-5a71-c5dceb59b021",NA,650,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,4,4,3,4,4,5,2,1,6,4,2,2,2,5,6,4,4,4,5,5,5,5,2,4,4,4,4,5,4,5,1,4,2,5,4,4,5,4,2,5,4,4,4,4,2,5,4,4,4,4,4,4,5,4,4,2,4,2,3,2,4,4,6,7,6,4,4,4,6,4,7,1,7,1,7,2,7,6,2,5,1,6,6,6,6,6,6,2,1,5,2,2,1,4,3,2,1,4,1,6,4,3,4,5,5,5,5,4,5,1,5,5,4,4,2,4,4,4,1,NA,8,"35661",2,4,1,1,NA,NA,NA,NA,NA,1,NA," ","Cherokee","Cherokee",NA,NA,1,1,4,1,1,1,3,2,1,NA,3,2," ",1,34.83050537,-87.65599823,-1,0,1
"409","R_1KkYoQr18lrFAEL","Default Response Set","Anonymous",NA,NA,"98.19.236.142",0,"10/25/2019 8:20","10/25/2019 8:32",1,"Qual2790-0826NativeAmerican2","5db30467-3063-902e-8e2a-99e7665b862e",NA,733,TRUE," "," "," "," "," ",NA,2,1," ","{Invalid Expression}",4,2,1,4,2,6,4,4,4,4,4,5,1,3,4,4,5,6,5,6,1,6,7,1,6,5,7,7,7,7,5,5,7,1,6,7,7,7,7,7,7,4,5,4,4,5,4,4,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,6,7,6,4,4,4,4,4,7,2,7,1,7,1,7,4,7,2,6,7,1,6,7,7,7,1,1,1,1,1,5,1,7,4,1,7,1,7,4,7,7,6,7,5,6,7,7,4,7,3,7,7,5,7,4,7,2,NA,33,"72616",3,5,2,1,NA,NA,NA,NA,NA,1,NA," ","Osage","Osage",NA,NA,1,1,6,1,1,1,1,2,1,NA,4,3," ",1,36.2467041,-93.10540009,-1,0,1
"885","R_3m9rc5seTR5XM0g","Default Response Set","Anonymous",NA,NA,"99.203.128.56",0,"10/14/2019 11:43","10/14/2019 11:51",1,"Qual2790-0826NativeAmerican2"," ",NA,458,TRUE,"65f7c978-5764-4786-bd42-5a301bd0ff12"," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,NA,5,"48205",4,3,1,6,NA,1,NA,NA,NA,1,NA," ","Ottawa","Ottawa",NA,NA,1,1,4,1,1,1,2,2,1,NA,1,2,"No",1,41.08140564,-81.51899719,-1,0,1
"272","R_23VQiV8KwbMq3e7","Default Response Set","Anonymous",NA,NA,"45.52.91.159",0,"10/16/2019 1:36","10/16/2019 1:54",1,"Qual2790-0826NativeAmerican2","5da6c858-ba45-4157-0b5c-33646da46be5",NA,1101,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,7,7,7,7,7,2,2,7,2,1,7,7,6,7,7,6,3,6,2,6,2,2,6,4,4,6,7,7,7,7,6,7,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,4,4,5,4,5,6,6,3,6,6,3,7,3,7,6,3,7,2,7,2,7,2,6,1,6,3,5,3,6,3,6,5,5,4,5,2,1,6,6,5,5,6,3,4,2,5,4,6,3,1,1,3,1,2,1,2,1,1,3,1,1,1,1,4,2,1,2,NA,3,"97062",3,3,6,7,NA,NA,1,NA,NA,1,NA," ","Creek","Muscogee and Seminole",NA,NA,1,1,1,0,1,2,2,2,1,NA,2,2," ",1,45.40849304,-122.7980957,-1,0,1
"951","R_3m3SA1kZC5lDmLu","Default Response Set","Anonymous",NA,NA,"98.167.34.224",0,"9/19/2019 19:18","9/19/2019 19:36",1,"Qual2790-0826NativeAmerican2","5d842893-25f2-810a-bf36-cb9691bff1fd",NA,1067,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,6,7,1,7,7,3,1,5,2,1,1,7,7,7,6,5,5,6,4,1,2,6,2,5,7,7,7,7,7,6,6,6,1,7,7,7,6,6,6,7,6,5,7,7,6,5,4,6,1,7,7,7,7,5,7,5,5,5,6,5,4,7,5,7,7,7,6,7,7,2,7,1,7,1,7,1,7,3,7,3,7,7,3,5,7,5,6,2,2,4,4,1,5,5,6,6,4,5,3,5,2,1,3,5,4,6,4,5,3,1,5,1,3,1,1,4,1,1,2,NA,54,"89123",5,4,7,5,NA,NA,1,NA,NA,1,NA," ","have blood lines but not member in cherokee and Ojibwe","Cherokee & Ojibwe",NA,NA,0,0,1,0,1,2,3,3,0,0,2,2,"no ty",1,36.00210571,-115.1470032,-1,0,1
"511","R_2A1n2AvmEGD2ASc","Default Response Set","Anonymous",NA,NA,"75.165.169.25",0,"10/24/2019 18:49","10/24/2019 19:09",1,"Qual2790-0826NativeAmerican2","5db2464d-d691-571c-17cc-3ecd4f1c2356",NA,1241,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,7,7,7,7,7,1,1,7,1,1,1,7,7,7,7,2,7,7,1,1,1,2,6,6,4,7,7,6,7,6,7,6,1,7,6,7,7,6,7,7,4,6,7,7,6,7,6,7,1,4,6,7,7,2,5,6,6,7,6,5,7,7,3,7,3,6,6,6,7,2,7,1,6,1,6,1,7,5,6,2,7,6,1,5,7,7,5,1,1,2,3,5,5,6,1,5,4,5,1,2,6,2,5,3,6,3,3,4,5,5,5,3,1,5,2,5,2,3,2,NA,43,"27587",4,4,7,4,NA,NA,1,NA,NA,1,1,"jewish","chicasaw","Chickasaw",NA,NA,0,0,4,1,0,2,3,2,0,0,2,3,"as long as a person who has very little Native American in them, they still can identify as native american",1,36.0756073,-79.09140015,-1,0,1
"493","R_qO5CKDfXozrtu8h","Default Response Set","Anonymous",NA,NA,"172.58.225.89",0,"9/25/2019 14:15","9/25/2019 14:32",1,"Qual2790-0826NativeAmerican2","5d8bca0b-b0a2-7c1f-53ff-6ea321fe19af",NA,1029,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,2,6,7,7,7,7,7,1,7,5,3,3,7,3,7,7,7,6,7,7,6,6,7,7,7,7,7,7,6,6,6,7,6,7,6,6,7,6,6,7,7,7,7,6,6,7,7,7,6,6,7,7,6,6,7,5,7,7,6,5,6,6,7,7,7,6,7,6,6,6,7,7,7,7,6,7,7,7,7,7,6,7,6,7,7,7,6,7,6,7,6,2,7,7,7,6,5,7,6,7,7,6,6,6,7,7,7,7,7,7,6,7,6,7,7,7,7,7,2,NA,13,"77027",6,2,1,5,NA,NA,NA,1,NA,1,NA," ","Wayuu","Wayuu",NA,NA,1,1,5,1,1,1,2,2,1,NA,2,2," ",1,40.70350647,-73.92350006,-1,0,1
"887","R_11cgXVOmPUbev0d","Default Response Set","Anonymous",NA,NA,"174.194.198.217",0,"9/25/2019 13:24","9/25/2019 13:47",1,"Qual2790-0826NativeAmerican2","5d8bbeb8-84fd-a6f5-5bab-afeac795644b",NA,1352,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,5,5,1,5,5,6,4,7,7,6,4,7,4,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,3,5,7,4,3,5,2,1,4,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,2,2,2,4,7,1,1,4,2,7,5,3,1,1,6,NA,9,"95482",2,5,6,4,NA,NA,NA,NA,NA,1,NA," ","pomo","Pomo",NA,NA,0,0,2,0,0,2,4,3,0,0,4,3,"No",1,37.75100708,-97.8219986,-1,0,1
"914","R_2a90uTtoc8brvW0","Default Response Set","Anonymous",NA,NA,"24.7.156.177",0,"10/14/2019 21:06","10/14/2019 21:17",1,"Qual2790-0826NativeAmerican2","5da537a3-e5a1-c959-4fd0-9c48fbc9d0b9",NA,659,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,6,7,1,7,7,1,1,7,1,1,7,7,7,7,7,5,5,5,2,2,2,2,6,4,5,3,5,4,5,5,4,4,5,5,5,5,5,4,5,6,4,6,5,5,6,5,6,6,3,6,6,5,5,5,6,4,5,2,6,5,3,4,6,6,6,6,4,4,6,2,6,2,6,2,6,2,6,4,5,4,5,6,2,4,4,4,6,2,2,2,6,6,2,3,2,6,3,6,2,2,2,2,4,2,2,5,2,2,2,2,2,2,4,2,2,2,3,2,1,NA,22,"94134",4,3,1,4,NA,NA,NA,NA,NA,1,NA," ","No comment",NA,NA,NA,1,1,2,0,0,1,2,1,1,NA,2,2,"No comments",1,38.40629578,-121.4286957,-1,0,1
"313","R_3lS1HKWr00tMCw6","Default Response Set","Anonymous",NA,NA,"174.225.12.172",0,"9/25/2019 14:11","9/25/2019 14:17",1,"Qual2790-0826NativeAmerican2","5d8bc9af-33ff-7fc3-7155-9106763b1b29",NA,374,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,3,3,3,2,5,3,3,3,3,2,3,3,3,2,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2,2,2,3,3,2,3,2,4,3,2,2,3,3,3,2,2,4,4,2,3,3,2,2,2,3,5,2,3,2,2,2,3,2,3,3,6,1,3,3,3,3,3,3,3,2,4,4,3,2,3,4,3,3,2,3,3,3,3,4,4,3,3,4,5,3,6,4,5,5,5,5,5,4,4,4,4,5,3,5,1,NA,20,"7442",5,3,1,5,NA,NA,NA,NA,NA,1,NA," ","Lackawanna",NA,NA,NA,1,1,5,1,1,1,3,1,1,NA,2,3," ",1,40.55110168,-74.46060181,-1,0,1
"90","R_3lQbMpfG8MwtH7w","Default Response Set","Anonymous",NA,NA,"70.127.128.63",0,"10/25/2019 11:54","10/25/2019 12:16",1,"Qual2790-0826NativeAmerican2","5db33688-6eb1-d93c-0b54-c353982d510b",NA,1295,TRUE," "," "," "," "," ",NA,2,1," ","{Invalid Expression}",4,7,7,1,7,7,1,1,7,1,1,7,7,7,7,7,1,7,7,2,1,4,5,5,4,5,4,7,7,7,5,4,7,1,6,7,7,7,7,7,7,5,7,7,7,7,7,7,7,1,7,6,7,6,1,7,7,7,7,7,7,7,7,5,7,3,4,5,4,6,2,6,2,6,1,7,2,7,4,4,2,3,6,2,5,6,6,6,1,1,2,2,2,6,7,3,4,2,5,2,6,4,1,1,2,4,1,4,4,2,1,4,5,1,2,1,5,1,1,2,NA,51,"33709",2,4,5,4,NA,NA,NA,NA,NA,1,NA," ","Cherokee","Cherokee",NA,NA,0,0,1,0,1,1,3,3,0,0,3,3," ",1,27.86880493,-82.73439789,-1,0,1
"1080","R_2CpnleKWcvli5rw","Default Response Set","Anonymous",NA,NA,"108.105.35.25",0,"10/24/2019 17:46","10/24/2019 18:11",1,"Qual2790-0826NativeAmerican2","5db23798-9e9d-3c0c-78a8-9856f89545a7",NA,1487,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,7,7,1,7,7,1,1,7,1,1,7,7,7,7,7,1,3,4,7,1,4,7,1,4,4,5,7,4,7,5,6,6,1,7,6,6,5,6,6,3,4,4,4,5,4,2,2,5,4,3,6,6,7,1,6,3,5,5,6,7,3,5,6,5,5,4,4,4,5,6,6,6,6,1,7,1,7,4,6,2,4,6,1,6,6,5,5,1,1,1,2,2,1,1,6,6,4,6,5,6,6,1,5,5,4,3,5,4,4,3,5,4,4,5,3,4,1,7,2,NA,51,"74056",5,3,5,5,NA,NA,NA,NA,NA,1,NA," ","Osage Sioux Klamath Cherokee","Osage Sioux Klamath Cherokee",NA,NA,1,1,7,1,1,1,1,2,1,NA,1,2,"Not really",1,37.75100708,-97.8219986,-1,0,1
"1089","R_1M4f13C8hOUsrXz","Default Response Set","Anonymous",NA,NA,"73.36.248.176",0,"9/25/2019 15:40","9/25/2019 15:46",1,"Qual2790-0826NativeAmerican2","5d8bde5d-00ce-68cb-9f81-d32dbeb68f25",NA,375,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,4,5,5,6,5,6,5,7,6,6,5,4,5,4,5,6,6,4,7,6,6,6,4,6,2,5,7,6,6,6,5,7,6,6,4,6,4,7,7,6,4,6,5,2,6,6,6,6,7,4,4,5,5,7,6,7,6,5,6,7,6,6,6,6,6,6,6,6,6,6,6,4,3,6,7,6,5,6,5,5,7,6,6,6,6,7,6,6,6,4,5,6,6,7,6,5,5,6,5,6,6,6,5,6,7,6,3,7,4,7,5,5,5,5,4,7,3,5,2,NA,16,"60089",4,3,2,6,NA,NA,1,NA,NA,NA,NA," ","No idea",NA,NA,0,1,1,4,1,1,1,3,2,1,NA,3,2,"Nothing",1,42.16140747,-87.96600342,-1,0,1
"607","R_2aso8UKwpsiF8Jc","Default Response Set","Anonymous",NA,NA,"74.189.16.174",0,"9/25/2019 16:52","9/25/2019 17:56",1,"Qual2790-0826NativeAmerican2","5d8bef71-aff9-c320-63f0-7cc95d993ff8",NA,3810,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,1,7,1,1,7,7,1,1,7,7,7,1,1,1,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,1,7,1,1,7,7,1,7,7,7,7,1,1,1,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,1,7,7,7,7,1,7,1,7,7,7,7,1,1,7,1,1,1,1,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,NA,33,"28785",1,5,2,1,NA,NA,NA,NA,NA,1,NA," ","Powpow",NA,NA,NA,1,1,7,1,1,1,4,1,1,NA,4,1,"I made jewler bread work",1,35.53300476,-82.97190094,-1,0,1
"460","R_2QM8WDru9O1wnq3","Default Response Set","Anonymous",NA,NA,"174.87.60.116",0,"10/14/2019 19:03","10/14/2019 19:34",1,"Qual2790-0826NativeAmerican2","5da51ac0-4288-58fd-d54d-f1722652bd7e",NA,1803,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,3,5,3,5,5,5,3,3,3,3,3,2,3,5,5,6,6,2,5,5,4,3,3,2,2,6,3,5,5,5,3,3,4,2,5,3,5,3,3,5,2,2,3,6,5,2,2,5,2,7,2,5,6,2,6,5,6,6,5,2,6,6,7,6,6,6,4,7,6,2,7,1,7,1,7,1,7,5,4,5,2,7,1,4,6,5,5,2,2,2,2,5,1,2,2,4,2,6,2,4,2,4,5,5,1,4,5,4,5,1,4,4,4,4,4,5,1,4,2,NA,19,"70117",5,3,1,4,NA,NA,NA,NA,NA,1,NA," ","Shinnecock","Shinnecock",NA,NA,1,1,5,1,1,1,1,2,1,NA,2,3," ",1,33.45399475,-84.15339661,-1,0,1
"550","R_2AWpc96OY8QcCZ1","Default Response Set","Anonymous",NA,NA,"98.27.0.195",0,"10/14/2019 17:02","10/14/2019 17:22",1,"Qual2790-0826NativeAmerican2","5da4fe4c-632d-fa3e-a29a-a49736e1d2a8",NA,1184,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,7,7,1,7,7,1,1,7,1,1,7,4,7,7,7,6,5,6,7,3,6,7,1,6,6,5,6,7,7,7,4,5,1,7,6,7,7,6,7,6,6,6,6,7,5,6,5,6,2,7,7,7,6,5,6,6,6,7,7,7,6,6,7,7,7,7,7,6,7,1,7,1,7,1,7,1,7,5,4,5,3,7,1,7,7,7,7,2,1,6,7,2,2,1,2,7,3,7,2,7,3,6,7,6,6,7,7,7,6,5,7,6,6,7,7,7,6,6,1,NA,21,"27104",5,3,1,7,NA,NA,NA,NA,NA,1,NA," ","suixe","Sioux",NA,NA,1,1,7,1,1,1,4,1,1,NA,4,1,"have a nice day white Devils",1,36.09129333,-80.32710266,-1,0,1
